iter	Passed	Remaining
253	793	768
254	796	765
255	799	762
256	802	758
257	805	755
258	808	752
259	811	748
260	814	745
261	817	742
262	819	738
263	822	735
264	826	732
265	829	729
266	831	726
267	834	722
268	837	719
269	840	716
270	843	712
271	846	709
272	849	706
273	852	702
274	855	699
275	858	696
276	861	693
277	864	690
278	867	686
279	869	683
280	872	680
281	875	676
282	878	673
283	881	670
284	884	667
285	887	664
286	890	661
287	893	657
288	896	654
289	899	651
290	902	648
291	905	644
292	908	641
293	911	638
294	913	635
295	917	632
296	920	629
297	923	625
298	926	622
299	929	619
300	931	616
301	934	612
302	937	609
303	940	606
304	943	603
305	947	600
306	950	597
307	952	593
308	955	590
309	958	587
310	961	584
311	964	581
312	967	578
313	970	574
314	973	571
315	976	568
316	979	565
317	982	562
318	985	559
319	988	555
320	991	552
321	994	549
322	996	546
323	999	543
324	1002	539
325	1005	536
326	1008	533
327	1011	530
328	1014	527
329	1017	524
330	1020	520
331	1023	517
332	1026	514
333	1028	511
334	1031	508
335	1034	505
336	1037	501
337	1040	498
338	1043	495
339	1046	492
340	1049	489
341	1052	486
342	1055	483
343	1058	479
344	1061	476
345	1064	473
346	1067	470
347	1070	467
348	1073	464
349	1076	461
350	1080	458
351	1083	455
352	1085	452
353	1088	449
354	1091	446
355	1094	442
356	1097	439
357	1100	436
358	1103	433
359	1106	430
360	1109	427
361	1112	424
362	1115	421
363	1118	417
364	1121	414
365	1125	411
366	1128	408
367	1130	405
368	1133	402
369	1136	399
370	1139	396
371	1142	393
372	1145	390
373	1148	387
374	1151	383
375	1155	380
376	1158	377
377	1160	374
378	1163	371
379	1167	368
380	1170	365
381	1173	362
382	1176	359
383	1179	356
384	1182	353
385	1185	350
386	1188	347
387	1191	344
388	1194	340
389	1198	337
390	1200	334
391	1203	331
392	1206	328
393	1209	325
394	1213	322
395	1216	319
396	1219	316
397	1222	313
398	1225	310
399	1227	306
400	1230	303
401	1233	300
402	1236	297
403	1239	294
404	1242	291
405	1245	288
406	1248	285
407	1251	282
408	1254	279
409	1257	276
410	1260	272
411	1263	269
412	1266	266
413	1269	263
414	1272	260
415	1275	257
416	1278	254
417	1282	251
418	1284	248
419	1287	245
420	1290	242
421	1293	239
422	1296	236
423	1300	233
424	1302	229
425	1306	226
426	1309	223
427	1312	220
428	1315	217
429	1318	214
430	1321	211
431	1324	208
432	1328	205
433	1331	202
434	1334	199
435	1337	196
436	1340	193
437	1343	190
438	1347	187
439	1350	184
440	1353	181
441	1356	178
442	1360	175
443	1365	172
444	1368	169
445	1370	165
446	1373	162
447	1377	159
448	1380	156
449	1383	153
450	1386	150
451	1389	147
452	1392	144
453	1395	141
454	1398	138
455	1401	135
456	1404	132
457	1407	129
458	1410	126
459	1413	122
460	1416	119
461	1419	116
462	1423	113
463	1426	110
464	1429	107
465	1432	104
466	1435	101
467	1438	98
468	1441	95
469	1444	92
470	1447	89
471	1450	86
472	1455	83
473	1458	80
474	1461	76
475	1464	73
476	1467	70
477	1471	67
478	1474	64
479	1477	61
480	1480	58
481	1482	55
482	1486	52
483	1489	49
484	1492	46
485	1495	43
486	1498	40
487	1501	36
488	1504	33
489	1507	30
490	1510	27
491	1513	24
492	1517	21
493	1520	18
494	1523	15
495	1526	12
496	1529	9
497	1532	6
498	1535	3
499	1538	0
