iter	Logloss
0	0.6826793671
1	0.6732743835
2	0.6647800446
3	0.6571805573
4	0.6506179047
5	0.6448933411
6	0.6399982452
7	0.6348474503
8	0.6311648178
9	0.6274999619
10	0.6240974045
11	0.620757103
12	0.6182325745
13	0.6149972916
14	0.6121942902
15	0.6099588776
16	0.6074887848
17	0.6050104141
18	0.6032972717
19	0.602173233
20	0.6012244034
21	0.6001462555
22	0.5988477325
23	0.5976308441
24	0.5965022278
25	0.5958246613
26	0.5951950836
27	0.5945072937
28	0.5935818481
29	0.5927169037
30	0.5923018646
31	0.5919254303
32	0.5914533615
33	0.5911878204
34	0.590790596
35	0.5898865509
36	0.5895130539
37	0.5890118027
38	0.5888225555
39	0.5886369324
40	0.5879439545
41	0.5876797485
42	0.5874885559
43	0.5871653366
44	0.5870126343
45	0.5865845871
46	0.5865177155
47	0.5863343048
48	0.5862527466
49	0.5857722855
50	0.5854860306
51	0.585423851
52	0.5851551819
53	0.584990387
54	0.5849584198
55	0.5849030304
56	0.5844865036
57	0.584221077
58	0.5839586258
59	0.5839312363
60	0.5837847137
61	0.5836065674
62	0.5835900497
63	0.5835736084
64	0.583211174
65	0.5831307983
66	0.5831102371
67	0.5828190613
68	0.5827148438
69	0.5826265335
70	0.5825561905
71	0.5824617386
72	0.5824544907
73	0.5824234772
74	0.5823875809
75	0.5823842239
76	0.5822009659
77	0.5821570206
78	0.5819467926
79	0.581929245
80	0.5819278336
81	0.581819725
82	0.5815033722
83	0.5814200592
84	0.5814171982
85	0.5812028885
86	0.5812016296
87	0.5811399841
88	0.5811377716
89	0.5811299515
90	0.5811212921
91	0.5810695648
92	0.5810632324
93	0.5808744431
94	0.5808705521
95	0.5807681274
96	0.5807255554
97	0.580719223
98	0.5805849457
99	0.5805517578
100	0.5805466461
101	0.5803453827
102	0.5803440094
103	0.5803244781
104	0.5802284622
105	0.5802246094
106	0.5801930618
107	0.5801826477
108	0.5800883865
109	0.5800881958
110	0.5800862122
111	0.5800302887
112	0.5799842072
113	0.5799477768
114	0.5799393845
115	0.5799343872
116	0.5799180603
117	0.5798915863
118	0.5797883606
119	0.5797624207
120	0.5795886612
121	0.5795792007
122	0.5795600128
123	0.5794262695
124	0.5793209839
125	0.5793199158
126	0.5792835999
127	0.5792570496
128	0.5792060089
129	0.5790177917
130	0.5789542389
131	0.5789172363
132	0.5788174438
133	0.5787121582
134	0.5786891174
135	0.5786837387
136	0.5786803055
137	0.57867836
138	0.5785198212
139	0.578462944
140	0.578398819
141	0.5783851242
142	0.5783500671
143	0.5782462311
144	0.5781825638
145	0.5781292725
146	0.5781292725
147	0.5781277847
148	0.5780937576
149	0.5780183411
150	0.5779843521
151	0.5779558182
152	0.5779338074
153	0.5778360367
154	0.5778253937
155	0.5777444077
156	0.5777428055
157	0.5777348709
158	0.5777337646
159	0.5776633453
160	0.5776334
161	0.5775624847
162	0.5774835968
163	0.5774190903
164	0.577354393
165	0.5772962189
166	0.5772047806
167	0.5771140289
168	0.5770533371
169	0.5769852829
170	0.5769106293
171	0.5768891144
172	0.5768105698
173	0.5768104553
174	0.5767332458
175	0.5767298889
176	0.5767212296
177	0.5767140198
178	0.5766742325
179	0.5766219711
180	0.5765579224
181	0.5765205383
182	0.576513176
183	0.5764879608
184	0.5764865875
185	0.5764302826
186	0.5764287186
187	0.576402092
188	0.576342392
189	0.5762960052
190	0.5762451172
191	0.5762069702
192	0.5761697388
193	0.5761447525
194	0.5761237335
195	0.5760783386
196	0.5760408401
197	0.5759976196
198	0.5759773636
199	0.5759432602
200	0.5759129333
201	0.5758737946
202	0.5758602905
203	0.5758315277
204	0.5757949066
205	0.5757770538
206	0.575736084
207	0.5757035828
208	0.5756900406
209	0.5756643677
210	0.5756396484
211	0.575615921
212	0.5755927658
213	0.5755688858
214	0.5755511093
215	0.575538063
216	0.575514946
217	0.5755036163
218	0.5754828644
219	0.5754760361
220	0.575458374
221	0.5754347229
222	0.5754230118
223	0.5754053116
224	0.5753899002
225	0.5753758621
226	0.575353775
227	0.575331192
228	0.5753134155
229	0.5752986908
230	0.5752926636
231	0.5752732086
232	0.5752651978
233	0.5752415085
234	0.5752349091
235	0.5752184296
236	0.5751971817
237	0.5751832199
238	0.5751782608
239	0.575161972
240	0.5751506042
241	0.5751316071
242	0.5751112366
243	0.5751107788
244	0.5751052856
245	0.575093689
246	0.5750933838
247	0.5750814056
248	0.5750639725
249	0.5750482941
250	0.5750300598
251	0.5750133514
252	0.5750006866
253	0.574988327
254	0.5749804687
255	0.5749706268
256	0.5749542999
257	0.574940033
258	0.5749329376
259	0.5749192047
260	0.5749051666
261	0.5748923492
262	0.5748837662
263	0.5748705673
264	0.5748582077
265	0.5748459244
266	0.5748381805
267	0.5748302078
268	0.5748174286
269	0.5748086929
270	0.5748020172
271	0.5747926331
272	0.5747779083
273	0.5747710419
274	0.5747658539
275	0.5747519684
276	0.574750061
277	0.5747407913
278	0.574732399
279	0.5747240829
280	0.574708519
281	0.5747093964
282	0.5746952057
283	0.5746915436
284	0.5746805954
285	0.5746763992
286	0.5746696472
287	0.5746625137
288	0.574654274
289	0.5746501923
290	0.5746409607
291	0.5746333313
292	0.5746263123
293	0.5746161652
294	0.5746089935
295	0.5746018982
296	0.5745964813
297	0.5745954132
298	0.5745891571
299	0.5745798874
300	0.5745739746
301	0.5745683289
302	0.5745627213
303	0.5745543289
304	0.574547348
305	0.5745396042
306	0.5745311356
307	0.5745233154
308	0.5745132446
309	0.5745053101
310	0.5745001602
311	0.574492569
312	0.5744897842
313	0.574485054
314	0.5744782257
315	0.574473114
316	0.5744676208
317	0.5744633102
318	0.5744538498
319	0.5744467926
320	0.574440918
321	0.5744409943
322	0.5744376373
323	0.574432373
324	0.5744253159
325	0.5744219208
326	0.5744215393
327	0.5744132614
328	0.5744072342
329	0.5743994141
330	0.574397583
331	0.574393959
332	0.5743940353
333	0.5743891144
334	0.5743902206
335	0.5743795776
336	0.5743833542
337	0.5743776703
338	0.5743692017
339	0.5743637085
340	0.5743580627
341	0.5743535233
342	0.5743473053
343	0.5743454742
344	0.5743447113
345	0.5743395996
346	0.5743371201
347	0.5743337631
348	0.5743273163
349	0.574324379
350	0.5743164825
351	0.5743125916
352	0.5743083191
353	0.5743025208
354	0.5742998123
355	0.5742960358
356	0.5742882156
357	0.5742864227
358	0.5742790985
359	0.5742771912
360	0.5742722321
361	0.5742696381
362	0.5742644501
363	0.5742599106
364	0.5742552185
365	0.5742550659
366	0.5742507553
367	0.5742451477
368	0.574242363
369	0.5742396545
370	0.5742363739
371	0.5742329407
372	0.5742311096
373	0.5742271423
374	0.5742252731
375	0.5742251205
376	0.5742195129
377	0.5742152405
378	0.5742125702
379	0.5742108154
380	0.5742092514
381	0.5742071915
382	0.5742045593
383	0.5742041016
384	0.5741993332
385	0.5741950607
386	0.5741889191
387	0.5741887283
388	0.5741838074
389	0.5741786194
390	0.574178009
391	0.5741752625
392	0.5741730118
393	0.5741662979
394	0.5741646576
395	0.5741611099
396	0.5741609573
397	0.5741598129
398	0.5741548538
399	0.5741499329
400	0.5741496277
401	0.574145813
402	0.5741440201
403	0.574140358
404	0.5741376114
405	0.5741359711
406	0.5741310501
407	0.574129715
408	0.5741281128
409	0.5741247177
410	0.5741210175
411	0.5741182709
412	0.5741147995
413	0.5741126251
414	0.574105835
415	0.5741048431
416	0.5741018677
417	0.5740996933
418	0.574098587
419	0.5740953827
420	0.5740932465
421	0.5740924835
422	0.5740893936
423	0.5740872955
424	0.5740841293
425	0.5740834808
426	0.5740810013
427	0.5740795135
428	0.5740762711
429	0.5740762711
430	0.5740771484
431	0.5740769196
432	0.5740747833
433	0.5740736771
434	0.5740707016
435	0.5740673065
436	0.574066925
437	0.574067688
438	0.5740606308
439	0.5740602875
440	0.5740601349
441	0.5740579605
442	0.5740567398
443	0.5740510941
444	0.5740510941
445	0.5740504837
446	0.5740509033
447	0.574047966
448	0.5740446472
449	0.5740435028
450	0.5740408325
451	0.5740402603
452	0.5740389252
453	0.5740367126
454	0.5740381622
455	0.5740322113
456	0.5740335083
457	0.5740306854
458	0.5740305328
459	0.5740287018
460	0.5740254974
461	0.5740267181
462	0.5740248871
463	0.5740209961
464	0.5740191269
465	0.574017601
466	0.5740145111
467	0.5740145111
468	0.5740151978
469	0.5740127182
470	0.5740145111
471	0.5740118408
472	0.5740111542
473	0.5740074539
474	0.5740066528
475	0.5740054321
476	0.5740042496
477	0.5740045166
478	0.5740029907
479	0.5740006256
480	0.5739982224
481	0.5739961243
482	0.5739942169
483	0.5739929199
484	0.5739923096
485	0.5739899826
486	0.5739906311
487	0.5739910126
488	0.5739868927
489	0.5739865494
490	0.5739839172
491	0.5739838409
492	0.5739807892
493	0.5739781189
494	0.5739770889
495	0.5739774323
496	0.5739771271
497	0.5739764404
498	0.573972702
499	0.5739703369
